

 JOB_ID#   = 1
 Beamline  = BL45XU
 FILE_NAME = /user/admin45/Data/250718_BL45XU/check02/noxray_??????.h5
 starting_serial = 1
 JOB_MODE  = Crystal Check
 Beam shape = rectangle, Beam size = 50.0[um] x 50.0[um] (h x w)
 DETECTOR  = PAD (EIGER16M) :
 DATA COLLECTION_PARAMETERS :
  scan_from = 0.000[deg], scan_to = 10.000[deg], scan_step = 0.100[deg]
  sampling_interval = 1, number_of_images = 100 x 1
  delay_time = 200.0[msec], cameralength = 150.0[mm], attenuator = Al 2586[um] (T=0.0100)
  ver. offset = 0.0[mm], hor. offset = 0.0[mm]
  inverse_beam = no
  wavelength = 0.77500, expose_time = 0.02[sec]

               DataSet, ImageNum, Wavelength, ExposeTime, StartAngle, OscAngle, FileName, RingCurrent, I0, Time ,Date
 SCAN_STATUS000001 = 1,  1,  0.77500,  0.02,  0.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000002 = 1,  2,  0.77500,  0.02,  0.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000003 = 1,  3,  0.77500,  0.02,  0.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000004 = 1,  4,  0.77500,  0.02,  0.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000005 = 1,  5,  0.77500,  0.02,  0.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000006 = 1,  6,  0.77500,  0.02,  0.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000007 = 1,  7,  0.77500,  0.02,  0.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000008 = 1,  8,  0.77500,  0.02,  0.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000009 = 1,  9,  0.77500,  0.02,  0.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000010 = 1,  10,  0.77500,  0.02,  0.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000011 = 1,  11,  0.77500,  0.02,  1.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000012 = 1,  12,  0.77500,  0.02,  1.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000013 = 1,  13,  0.77500,  0.02,  1.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000014 = 1,  14,  0.77500,  0.02,  1.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000015 = 1,  15,  0.77500,  0.02,  1.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000016 = 1,  16,  0.77500,  0.02,  1.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000017 = 1,  17,  0.77500,  0.02,  1.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000018 = 1,  18,  0.77500,  0.02,  1.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000019 = 1,  19,  0.77500,  0.02,  1.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000020 = 1,  20,  0.77500,  0.02,  1.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000021 = 1,  21,  0.77500,  0.02,  2.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000022 = 1,  22,  0.77500,  0.02,  2.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000023 = 1,  23,  0.77500,  0.02,  2.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000024 = 1,  24,  0.77500,  0.02,  2.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000025 = 1,  25,  0.77500,  0.02,  2.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000026 = 1,  26,  0.77500,  0.02,  2.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
